iter	Logloss
0	0.5446196837
1	0.4605987381
2	0.4041760237
3	0.3696593398
4	0.3465810728
5	0.3260223347
6	0.3135997257
7	0.3008632187
8	0.2921578063
9	0.2857139735
10	0.276172102
11	0.2702995279
12	0.2666330049
13	0.262203122
14	0.2598755471
15	0.2574107693
16	0.2552716804
17	0.2527063963
18	0.2503244489
19	0.2480052181
20	0.2463145821
21	0.2448355514
22	0.2446748087
23	0.24432558
24	0.2431518723
25	0.2421538718
26	0.2418843419
27	0.2401160668
28	0.2390525124
29	0.2370802194
30	0.236968826
31	0.2353737781
32	0.2339182872
33	0.2337408355
34	0.232532848
35	0.2312761417
36	0.2275649982
37	0.2266513204
38	0.2254495752
39	0.2253572238
40	0.223997258
41	0.2233288137
42	0.2219147485
43	0.2211205979
44	0.2210195452
45	0.2197108623
46	0.2188481523
47	0.217521037
48	0.2159852587
49	0.2152417816
50	0.2146696611
51	0.213622059
52	0.2134809468
53	0.2125974293
54	0.2118213748
55	0.2108347449
56	0.2104152963
57	0.2099833002
58	0.2092767931
59	0.208295943
60	0.2073024403
61	0.2069590545
62	0.2060990137
63	0.2051022953
64	0.2041406553
65	0.2031143861
66	0.2025886094
67	0.2018236313
68	0.2010388125
69	0.2004171745
70	0.1988271077
71	0.197849116
72	0.1972662555
73	0.1965303657
74	0.1951758435
75	0.1945862153
76	0.1942952054
77	0.193442941
78	0.1926046114
79	0.1918923664
80	0.1911232268
81	0.1902005745
82	0.1894143685
83	0.1884298614
84	0.1878947108
85	0.1872990506
86	0.1866893926
87	0.1862053989
88	0.1855673251
89	0.1850263527
90	0.1843230192
91	0.1837304276
92	0.1832848541
93	0.1829244861
94	0.1822374833
95	0.1819999001
96	0.1818167316
97	0.1813426583
98	0.1809817858
99	0.179950031
100	0.1793004396
101	0.1785884889
102	0.1776379041
103	0.1770643965
104	0.1761888551
105	0.1759262085
106	0.1754612988
107	0.1753657738
108	0.1750664199
109	0.1744269274
110	0.1741302953
111	0.1736538259
112	0.1728153912
113	0.1720242041
114	0.1715490168
115	0.170961028
116	0.1704709287
117	0.1696265565
118	0.1691161332
119	0.1685395149
120	0.1679616881
121	0.167434871
122	0.167097223
123	0.1665734115
124	0.1661514724
125	0.165695884
126	0.1648868529
127	0.1644341755
128	0.1640808694
129	0.1635985571
130	0.163140184
131	0.1626644292
132	0.1621421835
133	0.1618250697
134	0.1610676159
135	0.1607638062
136	0.160270754
137	0.1598611206
138	0.1594214111
139	0.1590712156
140	0.1589277704
141	0.1588061414
142	0.1584371141
143	0.1578464245
144	0.1577764674
145	0.1574141342
146	0.1571299445
147	0.1565416509
148	0.1560145186
149	0.1553554903
150	0.1547017584
151	0.1541270527
152	0.1535931632
153	0.1533897547
154	0.1530215471
155	0.1523301411
156	0.1519688378
157	0.1514399925
158	0.1513227352
159	0.1507321823
160	0.1501925655
161	0.1497792015
162	0.1492364216
163	0.148561546
164	0.1482654813
165	0.147899386
166	0.1476381475
167	0.1474957111
168	0.1467428076
169	0.1462402449
170	0.1458088688
171	0.1457139743
172	0.1450838241
173	0.1448191493
174	0.1445072689
175	0.1439279393
176	0.1434793499
177	0.1434301581
178	0.142878824
179	0.1427134784
180	0.1425238575
181	0.1418906808
182	0.1416474545
183	0.1414421964
184	0.1408992273
185	0.1406755263
186	0.140264674
187	0.1399754821
188	0.1398361668
