iter	Passed	Remaining
0	3638	1590025
1	7436	1621224
2	11096	1609018
3	15212	1650580
4	19633	1700261
5	24097	1735040
6	27634	1701473
7	30937	1662877
8	34178	1629177
9	37504	1605211
10	40994	1591335
11	44083	1564961
12	47402	1549712
13	50517	1529968
14	53753	1515845
15	57032	1504245
16	60324	1493921
17	63374	1478735
18	66795	1473008
19	70012	1463255
20	73735	1464169
21	77004	1456082
22	80192	1446950
23	83434	1439247
24	86940	1436263
25	90099	1427727
26	93731	1426805
27	97284	1424529
28	100514	1417605
29	104477	1420898
30	108132	1419681
31	111697	1417161
32	115216	1414021
33	118544	1408593
34	122473	1410191
35	125804	1404817
36	128887	1396862
37	132618	1395980
38	135841	1389767
39	138988	1382940
40	142364	1378502
41	145582	1372634
42	148819	1367066
43	152275	1363560
44	155524	1358250
45	159015	1355084
46	162510	1351948
47	165771	1346895
48	169410	1344915
49	172674	1339955
50	176282	1337672
51	179828	1334881
52	183276	1331346
53	186739	1327927
54	190005	1323126
55	193503	1319970
56	197101	1317470
57	200444	1313253
58	203742	1308786
59	206908	1303520
60	210551	1301275
61	213860	1296963
62	217187	1292780
63	220709	1289771
64	223936	1285051
65	227215	1280671
66	230512	1276419
67	233933	1272875
68	237765	1271526
69	241189	1267968
70	245014	1266482
71	249157	1266553
72	252947	1264737
